[INFO] [launch]: All log files can be found below /home/pi/.ros/log/2024-11-26-17-56-19-898349-drone-home-11101
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [imu_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [static_transform_publisher-5]: there are now at least 2 nodes with the name /drone_home1/static_transform_publisher created within this launch context
[INFO] [drive_publisher-1]: process started with pid [11108]
[INFO] [imu_publisher-2]: process started with pid [11109]
[INFO] [drive_hardware-3]: process started with pid [11110]
[INFO] [static_transform_publisher-4]: process started with pid [11111]
[INFO] [static_transform_publisher-5]: process started with pid [11112]
[static_transform_publisher-4] [WARN] [1732661780.041741774] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-5] [WARN] [1732661780.065698927] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-4] [INFO] [1732661780.079273236] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-4] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-4] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-4] from 'map' to 'imu_frame'
[static_transform_publisher-5] [INFO] [1732661780.099912687] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-5] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-5] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-5] from 'map' to 'gps_sensor'
[drive_hardware-3] /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
[drive_hardware-3]   warnings.warn(PWMSoftwareFallback(
[drive_publisher-1] [INFO] [1732661781.375112417] [drone_home1.sim]: Sent: 0.0, -0.0
[drive_publisher-1] [INFO] [1732661781.390561585] [drone_home1.sim]: Sent: 0.0, -0.0
[drive_publisher-1] [INFO] [1732661781.437070974] [drone_home1.sim]: Sent: 0.0, -0.0
[drive_publisher-1] [INFO] [1732661781.494773983] [drone_home1.sim]: Sent: 0.0, -0.0
[drive_publisher-1] [INFO] [1732661781.514325107] [drone_home1.sim]: Sent: 0.00016778426888826943, -0.0
[drive_publisher-1] [INFO] [1732661781.546754617] [drone_home1.sim]: Sent: 0.001883473014211125, -0.0
[drive_publisher-1] [INFO] [1732661781.550598909] [drone_home1.sim]: Sent: 0.001883473014211125, -0.0
[drive_publisher-1] [INFO] [1732661781.554655107] [drone_home1.sim]: Sent: 0.005340081087240437, -0.0
[drive_publisher-1] [INFO] [1732661781.566301742] [drone_home1.sim]: Sent: 0.008796689525999268, -0.0
[drive_publisher-1] [INFO] [1732661781.570270440] [drone_home1.sim]: Sent: 0.013994217292464558, -0.0
[drive_publisher-1] [INFO] [1732661781.578481392] [drone_home1.sim]: Sent: 0.01745082499976435, -0.0
[drive_publisher-1] [INFO] [1732661781.584309190] [drone_home1.sim]: Sent: 0.029561568912288262, -0.0
[drive_publisher-1] [INFO] [1732661781.594314964] [drone_home1.sim]: Sent: 0.07106609673675313, -0.0
[drive_publisher-1] [INFO] [1732661781.595892640] [drone_home1.sim]: Sent: 0.07106609673675313, -0.0
[drive_publisher-1] [INFO] [1732661781.602483934] [drone_home1.sim]: Sent: 0.1662111345609103, -0.0
[drive_publisher-1] [INFO] [1732661781.604413663] [drone_home1.sim]: Sent: 0.1662111345609103, -0.0
[drive_publisher-1] [INFO] [1732661781.608727285] [drone_home1.sim]: Sent: 0.2630466210390392, -0.0
[drive_publisher-1] [INFO] [1732661781.611425566] [drone_home1.sim]: Sent: 0.2630466210390392, -0.0
[drive_publisher-1] [INFO] [1732661781.618241655] [drone_home1.sim]: Sent: 0.363363946172581, -0.0
