[INFO] [launch]: All log files can be found below /root/.ros/log/2025-02-11-11-56-32-210664-drone-home-3097
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [pwm_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [gps_publisher-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [imu_publisher-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-5]: there are now at least 5 nodes with the name /drone_home1/sim created within this launch context
[INFO] [cv_controller-1]: process started with pid [3099]
[INFO] [pwm_publisher-2]: process started with pid [3101]
[INFO] [gps_publisher-3]: process started with pid [3103]
[INFO] [imu_publisher-4]: process started with pid [3105]
[INFO] [drive_hardware-5]: process started with pid [3107]
[imu_publisher-4] [INFO] [1739293012.667571779] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293013.170176646] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293013.672980812] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293014.175543948] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293014.678342064] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293015.180918159] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293015.683552877] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293016.186186283] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293016.688793576] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293017.191451269] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293017.693980318] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293018.196559191] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293018.699084623] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293019.201765705] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293019.704214493] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293020.206818611] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293020.709536076] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293021.212166113] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293021.714582801] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293022.217106883] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293022.719668628] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293023.222503083] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293023.724859446] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293024.227472422] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293024.730169400] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293025.232762022] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293025.735485078] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293026.238140036] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739293026.740783921] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293027.243527871] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293027.746211307] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293028.248809813] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293028.751308347] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293029.253937187] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293029.756564331] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293030.259190513] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:1)')
[imu_publisher-4] [INFO] [1739293030.761740406] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293031.264352410] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293031.766858940] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:2, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293032.269521376] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293032.772180291] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:2, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293033.274779013] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:2, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293033.777446503] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:2, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293034.280179977] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:2, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293034.782941804] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293035.285613163] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293035.788350092] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293036.290987433] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293036.793716807] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293037.296334499] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293037.798938173] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293038.301635800] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293038.804352147] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293039.307739997] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293039.810223345] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293040.313275537] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293040.815709506] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293041.318694848] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293041.821062638] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293042.323345529] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293042.825678501] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293043.328959686] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293043.831952703] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293044.334260968] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293044.836630738] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293045.338913336] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293045.841430116] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293046.343991919] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293046.846652572] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293047.349283816] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293047.852029141] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293048.354718432] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293048.857414763] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293049.360274937] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293049.863363787] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293050.365948497] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
[imu_publisher-4] [INFO] [1739293050.869225638] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:2)')
