[drive_publisher-1] [INFO] [1732662834.003304977] [drone_home1.sim]: Sent: 0.28610749988006423, -0.5
[drive_publisher-1] [INFO] [1732662834.056014319] [drone_home1.sim]: Sent: 0.28610749988006423, -0.5
[drive_publisher-1] [INFO] [1732662834.131748272] [drone_home1.sim]: Sent: 0.2731389066575304, -0.5
[drive_publisher-1] [INFO] [1732662834.185688297] [drone_home1.sim]: Sent: 0.28610749988006423, -0.5
[drive_publisher-1] [INFO] [1732662834.197127112] [drone_home1.sim]: Sent: 0.2731389066575304, -0.5
[drive_publisher-1] [INFO] [1732662834.213250475] [drone_home1.sim]: Sent: 0.28610749988006423, -0.5
[drive_publisher-1] [INFO] [1732662834.229211375] [drone_home1.sim]: Sent: 0.2731389066575304, -0.5
[drive_publisher-1] [INFO] [1732662834.241601263] [drone_home1.sim]: Sent: 0.28610749988006423, -0.5
[drive_publisher-1] [INFO] [1732662834.307442510] [drone_home1.sim]: Sent: 0.3055603780105204, -0.5
[drive_publisher-1] [INFO] [1732662834.337650220] [drone_home1.sim]: Sent: 0.3185289712330543, -0.5
[drive_publisher-1] [INFO] [1732662834.357403133] [drone_home1.sim]: Sent: 0.33149756445558815, -0.5
[drive_publisher-1] [INFO] [1732662834.372434980] [drone_home1.sim]: Sent: 0.33798184936351044, -0.5
[drive_publisher-1] [INFO] [1732662834.389443267] [drone_home1.sim]: Sent: 0.3574347274939666, -0.5
[drive_publisher-1] [INFO] [1732662834.405166890] [drone_home1.sim]: Sent: 0.36391903580857815, -0.5
[drive_publisher-1] [INFO] [1732662834.419298331] [drone_home1.sim]: Sent: 0.3833719139390343, -0.5
[drive_publisher-1] [INFO] [1732662834.435196750] [drone_home1.sim]: Sent: 0.3898561988469566, -0.5
[drive_publisher-1] [INFO] [1732662834.449352264] [drone_home1.sim]: Sent: 0.40930907697741276, -0.5
[drive_publisher-1] [INFO] [1732662834.469374343] [drone_home1.sim]: Sent: 0.4287619551078689, -0.5
[drive_publisher-1] [INFO] [1732662834.483548450] [drone_home1.sim]: Sent: 0.44821483323832506, -0.5
[drive_publisher-1] [INFO] [1732662834.501767958] [drone_home1.sim]: Sent: 0.4676677113687812, -0.5
[drive_publisher-1] [INFO] [1732662834.517591988] [drone_home1.sim]: Sent: 0.4806363279980043, -0.5
[drive_publisher-1] [INFO] [1732662834.531653429] [drone_home1.sim]: Sent: 0.5065735144430721, -0.5
[drive_publisher-1] [INFO] [1732662834.545706610] [drone_home1.sim]: Sent: 0.5260263925735282, -0.5
[drive_publisher-1] [INFO] [1732662834.563004305] [drone_home1.sim]: Sent: 0.5454792707039844, -0.5
[drive_publisher-1] [INFO] [1732662834.581270516] [drone_home1.sim]: Sent: 0.5714164571490521, -0.5
[drive_publisher-1] [INFO] [1732662834.601484373] [drone_home1.sim]: Sent: 0.5843850269648967, -0.5
[drive_publisher-1] [INFO] [1732662834.609625045] [drone_home1.sim]: Sent: 0.6103222134099644, -0.5
[drive_publisher-1] [INFO] [1732662834.625325131] [drone_home1.sim]: Sent: 0.616806521724576, -0.5
[drive_publisher-1] [INFO] [1732662834.645478358] [drone_home1.sim]: Sent: 0.7853981633974483, -0.5
[drive_publisher-1] [INFO] [1732662834.680065340] [drone_home1.sim]: Sent: 0.6427436613562652, -0.5
[drive_publisher-1] [INFO] [1732662834.682294743] [drone_home1.sim]: Sent: 0.6621965394867213, -0.5
[drive_publisher-1] [INFO] [1732662834.691625803] [drone_home1.sim]: Sent: 0.6686808478013329, -0.5
[drive_publisher-1] [INFO] [1732662834.705285077] [drone_home1.sim]: Sent: 0.681649464430556, -0.5
[drive_publisher-1] [INFO] [1732662834.723505085] [drone_home1.sim]: Sent: 0.7011023425610121, -0.5
[drive_publisher-1] [INFO] [1732662834.757544753] [drone_home1.sim]: Sent: 0.7075866040622452, -0.5
