[INFO] [launch]: All log files can be found below /root/.ros/log/2025-02-20-10-29-01-734931-drone-home-619
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [cv_controller-1]: process started with pid [621]
[INFO] [controller-2]: process started with pid [623]
[INFO] [pwm_publisher-3]: process started with pid [625]
[INFO] [gps_publisher-4]: process started with pid [627]
[INFO] [imu_publisher-5]: process started with pid [629]
[INFO] [drive_hardware-6]: process started with pid [631]
[cv_controller-1] [INFO] [1740065342.688530887] [drone_home1.sim]: CV Controller running
[controller-2] [INFO] [1740065342.785224996] [drone_home1.controller]: Controller running
[imu_publisher-5] [INFO] [1740065344.048455127] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065344.550597522] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065345.052732339] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065345.554711283] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065346.056816410] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065346.559242001] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065347.062010194] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065347.564824648] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065348.067200472] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065348.570070220] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065349.072972194] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065349.575969982] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065350.078832631] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065350.581876991] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065351.084841028] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065351.587327191] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065352.090022954] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065352.592963548] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065353.095986764] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065353.598906398] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065354.101805578] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065354.604606687] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065355.107225996] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065355.610187759] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065356.112899591] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065356.615939132] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065357.118783495] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065357.621626479] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065358.124538544] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065358.627128785] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065359.129438373] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065359.631877125] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065360.134161722] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065360.636383645] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065361.143265744] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065361.647215602] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065362.152912927] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065362.655911973] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065363.158741853] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065363.662411519] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065364.165402861] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065364.668174268] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065365.171264803] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065365.674173168] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065366.177448533] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065366.680285154] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065367.182990913] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065367.686185815] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065368.191492917] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065368.694194030] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065369.203156057] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065369.706073408] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065370.210067907] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065370.712670263] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065371.215069754] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065371.717294749] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065372.219938134] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065372.722008239] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065373.224071226] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065373.726722610] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065374.230091587] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065374.732486646] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065375.235180511] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065375.737872244] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065376.240699359] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065376.743278007] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065377.246119237] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065377.749805676] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065378.252946340] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065378.756376658] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065379.259014606] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065379.761619777] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065380.264052935] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065380.769376350] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740065381.273898276] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
