[INFO] [launch]: All log files can be found below /root/.ros/log/2025-02-11-11-54-14-912085-drone-home-2862
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [pwm_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [gps_publisher-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [imu_publisher-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-5]: there are now at least 5 nodes with the name /drone_home1/sim created within this launch context
[INFO] [cv_controller-1]: process started with pid [2864]
[INFO] [pwm_publisher-2]: process started with pid [2866]
[INFO] [gps_publisher-3]: process started with pid [2868]
[INFO] [imu_publisher-4]: process started with pid [2870]
[INFO] [drive_hardware-5]: process started with pid [2872]
[cv_controller-1] [INFO] [1739292855.848630529] [drone_home1.sim]: CV Controller running
[imu_publisher-4] [INFO] [1739292857.142028047] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292857.645750269] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:3, mag:0)')
[imu_publisher-4] [INFO] [1739292858.148660790] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292858.651229318] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292859.154229439] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292859.657396475] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292860.160449491] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292860.663215299] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292861.166287481] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292861.669239051] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292862.172100699] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292862.675088555] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292863.178081147] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292863.681050473] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292864.184068023] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292864.687101413] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292865.190164562] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292865.693123963] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292866.195969217] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-4] [INFO] [1739292866.698769348] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292867.201542918] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292867.704047968] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292868.206796798] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292868.709363736] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292869.212066195] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292869.714738285] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292870.217433350] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292870.719888408] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292871.222581231] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292871.725298917] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292872.227877559] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292872.730495561] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292873.233177371] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292873.735765065] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292874.238398904] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292874.741094791] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292875.243641330] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292875.746977646] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292876.249347346] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292876.751657907] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292877.254387038] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292877.756869153] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292878.259514503] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292878.762084139] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292879.264713486] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292879.767376017] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292880.270207864] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292880.772775415] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292881.275223569] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292881.777906609] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292882.280562383] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292882.783162666] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292883.285858886] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292883.788658948] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292884.291116633] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
[imu_publisher-4] [INFO] [1739292884.794071768] [drone_home1.sim]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:0, mag:0)')
