[INFO] [launch]: All log files can be found below /root/.ros/log/2025-02-20-15-54-13-965848-drone-home-278
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [cv_controller-1]: process started with pid [280]
[INFO] [controller-2]: process started with pid [282]
[INFO] [pwm_publisher-3]: process started with pid [284]
[INFO] [gps_publisher-4]: process started with pid [286]
[INFO] [imu_publisher-5]: process started with pid [288]
[INFO] [drive_hardware-6]: process started with pid [290]
[cv_controller-1] [INFO] [1740084855.165995995] [drone_home1.sim]: CV Controller running
[controller-2] [INFO] [1740084855.522702841] [drone_home1.controller]: Controller running
[imu_publisher-5] [INFO] [1740084856.751623648] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:0, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740084857.254104324] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:3, mag:0)')
[imu_publisher-5] [INFO] [1740084857.756460690] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084858.259768141] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084858.762836412] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084859.271095245] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084859.773628048] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084860.276581176] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084860.779537182] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084861.282555716] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084861.785589524] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[controller-2] [INFO] [1740084862.190379850] [drone_home1.controller]: Service request to change coordinate custom_messages.srv.SetCoordinate_Request(new_coordinate=sensor_msgs.msg.NavSatFix(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), status=sensor_msgs.msg.NavSatStatus(status=0, service=0), latitude=29.639767, longitude=-82.361444, altitude=0.0, position_covariance=array([0., 0., 0., 0., 0., 0., 0., 0., 0.]), position_covariance_type=0))
[controller-2] [INFO] [1740084862.191371197] [drone_home1.controller]: Waypoints now: [(29.639767, -82.361444)]
[imu_publisher-5] [INFO] [1740084862.288487389] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[drive_hardware-6] [INFO] [1740084862.346455988] [drone_home1.drive_hardware]: Service request to change drive mode custom_messages.srv.SetMode_Request(mode='manual')
[drive_hardware-6] [INFO] [1740084862.349237616] [drone_home1.drive_hardware]: Drive mode now: manual
[imu_publisher-5] [INFO] [1740084862.790939012] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084863.293332371] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084863.796067764] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084864.299118512] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084864.802274738] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084865.306166532] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084865.809208539] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084866.319589081] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084866.822108172] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084867.324980487] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084867.827886211] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084868.330879544] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084868.833886476] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084869.336241950] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084869.838676149] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084870.341068661] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084870.844103465] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084871.347183482] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084871.850253918] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084872.353396078] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084872.855353123] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084873.357853758] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084873.860599956] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084874.363567903] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084874.865906388] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084875.368164435] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084875.870457225] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084876.372862057] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084876.875626636] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084877.378675572] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084877.881851424] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084878.384825822] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084878.887865288] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084879.390887616] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084879.892806464] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084880.395168416] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084880.898074416] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084881.401124117] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084881.904317503] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084882.407313137] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084882.910235370] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084883.412660229] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084883.915193251] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084884.417607881] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084884.920728198] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084885.423915556] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084885.926872906] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084886.429873627] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084886.932965078] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:3, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084887.435972959] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084887.938494910] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084888.440879348] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084888.943329164] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084889.446492730] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
[imu_publisher-5] [INFO] [1740084889.949536424] [drone_home1.imu_publisher]: Calibration status: (False, 'Calibration (sys:0, gyro:3, accel:1, mag:0)')
